document_id,category_id,confidence_level
1485675,1608,0.92
1485675,1908,0.07
1527674,1807,0.92
1527674,1608,0.07
1561260,1807,0.92
1561260,1608,0.07
1561123,1513,0.92
1561123,1408,0.07
1560874,1807,0.92
1560874,1608,0.07
1527671,1807,0.92
1527671,1608,0.07
1527559,1608,0.92
1527559,1603,0.07
1559455,1608,0.92
1559455,1807,0.07
1504837,1608,0.92
1504837,1603,0.07
1515284,1608,0.92
1515284,2100,0.07
1556807,1405,0.92
1556807,1505,0.07
1556699,1503,0.92
1556699,1608,0.07
1556323,1608,0.92
1556323,1602,0.07
1556319,1603,0.92
1556319,1807,0.07
1514330,1608,0.92
1514330,1807,0.07
1554868,1608,0.92
1554868,1606,0.07
1554729,1807,0.92
1554729,1608,0.07
1513950,1807,0.92
1513950,1608,0.07
1513942,1807,0.92
1513942,1608,0.07
1513897,1807,0.92
1513897,1608,0.07
1554443,1807,0.92
1554443,1608,0.07
1554398,1405,0.92
1554398,1807,0.07
1554370,1608,0.92
1554370,1807,0.07
1554368,1608,0.92
1554368,1807,0.07
1554275,1807,0.92
1554275,1403,0.07
1554167,1606,0.92
1554167,1608,0.07
1553986,1807,0.92
1553986,1608,0.07
1513287,1405,0.92
1513287,1806,0.07
1553659,1403,0.479672268
1553659,1408,0.036496803
1523539,1608,0.92
1523539,1807,0.07
1553518,1807,0.92
1553518,1608,0.07
1553276,1807,0.92
1553276,1608,0.07
1551762,1807,0.92
1551762,1608,0.07
1551413,1608,0.92
1551413,1807,0.07
1540240,1608,0.598601956
1540240,1403,0.045545801
1598730,1608,0.92
1598730,1603,0.07
1503088,1513,0.92
1503088,1808,0.07
1512917,1807,0.92
1512917,1608,0.07
1505222,1807,0.92
1505222,1809,0.07
1550574,1807,0.92
1550574,1608,0.07
1549832,1608,0.92
1549832,1807,0.07
1549758,1405,0.92
1549758,1807,0.07
1549379,1608,0.92
1549379,1602,0.07
1642432,1608,0.92
1642432,1807,0.07
1642296,1603,0.92
1642296,1608,0.07
1597963,1807,0.92
1597963,2100,0.07
1597808,2100,0.62184456
1597808,1702,0.04731426
1600966,1608,0.92
1600966,1602,0.07
1642204,1608,0.92
1642204,1807,0.07
1597774,1608,0.92
1597774,1806,0.07
1485454,1608,0.92
1485454,1603,0.07
1641739,2100,0.92
1641739,1405,0.07
1641363,1608,0.92
1641363,1807,0.07
1641197,1603,0.92
1641197,1602,0.07
1640485,1608,0.92
1640485,1603,0.07
1597563,1608,0.92
1597563,2100,0.07
1502898,1807,0.92
1502898,1608,0.07
1640479,1608,0.92
1640479,1603,0.07
1640460,1608,0.77578908
1640460,1602,0.05902743
1640233,1608,0.692176076
1640233,1602,0.052665571
1640212,1209,0.92
1640212,1604,0.07
1640207,1608,0.92
1640207,1807,0.07
1640206,1807,0.92
1640206,1602,0.07
1638358,1608,0.92
1638358,1806,0.07
1638089,1608,0.92
1638089,1609,0.07
1548576,1608,0.92
1548576,1603,0.07
1637946,1405,0.92
1637946,1613,0.07
1637428,1807,0.92
1637428,1608,0.07
1636827,1602,0.92
1636827,1603,0.07
1633839,1302,0.92
1633839,1305,0.07
1597552,1608,0.92
1597552,1807,0.07
1633729,1608,0.92
1633729,1807,0.07
1631765,1608,0.92
1631765,1100,0.07
1548112,1807,0.92
1548112,1608,0.07
1644323,1807,0.92
1644323,1608,0.07
1631456,1608,0.92
1631456,1807,0.07
1631066,1603,0.92
1631066,1613,0.07
1630907,1608,0.92
1630907,1305,0.07
1629229,1608,0.92
1629229,1513,0.07
1600942,1807,0.92
1600942,1608,0.07
1629029,1606,0.92
1629029,1206,0.07
1523256,1405,0.92
1523256,1807,0.07
1628911,1603,0.92
1628911,1807,0.07
1597326,1703,0.92
1597326,1807,0.07
1596725,1608,0.92
1596725,1807,0.07
1490308,1807,0.92
1490308,1608,0.07
1628660,1807,0.92
1628660,1608,0.07
1628395,1807,0.92
1628395,1608,0.07
1626607,1603,0.92
1626607,1807,0.07
1486204,1805,0.92
1486204,1606,0.07
1645092,1807,0.92
1645092,1608,0.07
1625658,1403,0.92
1625658,1207,0.07
1624876,1505,0.92
1624876,1603,0.07
1488551,1807,0.92
1488551,2100,0.07
1645513,1608,0.92
1645513,1807,0.07
1645770,1608,0.92
1645770,1603,0.07
1595816,1608,0.92
1595816,1807,0.07
1645817,1608,0.611883444
1645817,1505,0.046556349
1622171,1608,0.92
1622171,2100,0.07
1622115,1405,0.849440968
1622115,1703,0.064631378
1621863,1807,0.92
1621863,1608,0.07
1621829,1608,0.92
1621829,1405,0.07
1621429,1807,0.92
1621429,1608,0.07
1620835,1608,0.901661364
1620835,1405,0.068604669
1620779,1608,0.770053892
1620779,1807,0.058591057
1620668,1807,0.92
1620668,1608,0.07
1620075,1609,0.92
1620075,1510,0.07
1646314,1807,0.92
1646314,1608,0.07
1363132,1807,0.92
1363132,1602,0.07
1442636,1807,0.92
1442636,1608,0.07
1354121,1807,0.92
1354121,1608,0.07
1367173,1807,0.92
1367173,1608,0.07
1464725,1807,0.92
1464725,1608,0.07
1467389,1602,0.92
1467389,1608,0.07
1461672,1807,0.92
1461672,1608,0.07
1450128,1608,0.92
1450128,1603,0.07
1424375,1807,0.92
1424375,1608,0.07
1468312,1808,0.92
1468312,1809,0.07
1412014,1807,0.92
1412014,1608,0.07
1410546,1807,0.92
1410546,1608,0.07
1450079,1608,0.92
1450079,1602,0.07
1464523,1807,0.92
1464523,1608,0.07
1409461,1608,0.92
1409461,1602,0.07
1354197,1807,0.92
1354197,1608,0.07
1401571,1807,0.92
1401571,1608,0.07
1418182,1807,0.92
1418182,1608,0.07
1325916,1608,0.92
1325916,1807,0.07
1429131,1608,0.92
1429131,1603,0.07
1400073,1606,0.92
1400073,1608,0.07
1369741,1807,0.92
1369741,1608,0.07
1323257,1606,0.92
1323257,1807,0.07
1372022,1807,0.92
1372022,1608,0.07
1484547,1602,0.92
1484547,1608,0.07
1458116,1807,0.92
1458116,1608,0.07
1409430,1608,0.92
1409430,1602,0.07
1443432,1807,0.92
1443432,1608,0.07
1357774,1807,0.92
1357774,1608,0.07
1443377,1608,0.92
1443377,1807,0.07
1475755,1608,0.92
1475755,2004,0.07
1345647,1608,0.92
1345647,1603,0.07
1340710,1608,0.92
1340710,2100,0.07
1337416,1807,0.92
1337416,1608,0.07
1443336,1807,0.92
1443336,1603,0.07
1475785,1613,0.57203898
1475785,1405,0.043524705
1322283,1608,0.92
1322283,1807,0.07
1475790,1608,0.92
1475790,1603,0.07
1461496,1807,0.92
1461496,1602,0.07
1400070,1608,0.92
1400070,1807,0.07
1421738,1606,0.92
1421738,1608,0.07
1463687,1505,0.92
1463687,1405,0.07
1345702,1608,0.92
1345702,1807,0.07
1381446,1603,0.92
1381446,1613,0.07
1462623,1602,0.92
1462623,1807,0.07
1378743,1807,0.92
1378743,1608,0.07
1375992,1807,0.92
1375992,1608,0.07
1390353,1807,0.92
1390353,1608,0.07
1410310,1608,0.92
1410310,1603,0.07
1340321,1807,0.92
1340321,1602,0.07
1373451,1608,0.92
1373451,1602,0.07
1347294,1807,0.92
1347294,1608,0.07
1480052,1807,0.92
1480052,1608,0.07
1373421,1807,0.92
1373421,1608,0.07
1326772,1807,0.92
1326772,1608,0.07
1374063,1807,0.92
1374063,1608,0.07
1351306,1807,0.92
1351306,1608,0.07
1452083,1807,0.92
1452083,1608,0.07
1443206,1807,0.92
1443206,1608,0.07
1422024,1608,0.92
1422024,1603,0.07
1390236,1807,0.92
1390236,1608,0.07
1453517,1807,0.92
1453517,1608,0.07
1378812,1608,0.92
1378812,1602,0.07
1328171,1608,0.92
1328171,1807,0.07
1443201,1608,0.92
1443201,1602,0.07
1340694,1807,0.92
1340694,1608,0.07
1361284,1807,0.92
1361284,1608,0.07
1340254,1807,0.92
1340254,1608,0.07
1406659,1807,0.92
1406659,1608,0.07
1459290,1807,0.92
1459290,1608,0.07
1433727,1606,0.92
1433727,1807,0.07
1326638,1606,0.92
1326638,1608,0.07
1472272,1608,0.92
1472272,1807,0.07
1455099,1807,0.92
1455099,1602,0.07
1403478,1807,0.92
1403478,1608,0.07
1472732,1608,0.92
1472732,1603,0.07
1348746,1807,0.92
1348746,1608,0.07
1367164,1807,0.92
1367164,1608,0.07
1453404,1602,0.92
1453404,1505,0.07
1475900,1603,0.92
1475900,1608,0.07
1472326,1807,0.92
1472326,1602,0.07
1366060,1807,0.92
1366060,1608,0.07
1373360,1807,0.92
1373360,1608,0.07
1412198,1807,0.92
1412198,1608,0.07
1424485,1807,0.92
1424485,1608,0.07
1407297,1608,0.92
1407297,1505,0.07
1349065,1807,0.92
1349065,1608,0.07
1453352,1608,0.92
1453352,1807,0.07
1382543,1807,0.92
1382543,1608,0.07
1430314,1608,0.92
1430314,1807,0.07
1433597,1608,0.92
1433597,1807,0.07
1452929,1608,0.92
1452929,1602,0.07
1455198,1608,0.92
1455198,1807,0.07
1389155,1807,0.92
1389155,1608,0.07
1357491,1407,0.92
1357491,1608,0.07
1346182,1807,0.92
1346182,1608,0.07
1423446,1807,0.92
1423446,1608,0.07
1421797,1807,0.92
1421797,1608,0.07
1367954,2100,0.92
1367954,1807,0.07
1463453,1608,0.92
1463453,1807,0.07
1323061,1807,0.92
1323061,1608,0.07
1379373,1807,0.92
1379373,1608,0.07
1320514,1608,0.92
1320514,1614,0.07
1340651,1807,0.92
1340651,1608,0.07
1346605,1807,0.92
1346605,1608,0.07
1327374,1807,0.92
1327374,1608,0.07
1425866,1608,0.92
1425866,1807,0.07
1473360,1608,0.92
1473360,1807,0.07
1433350,1608,0.92
1433350,1807,0.07
1443067,1807,0.92
1443067,1608,0.07
1453185,1608,0.92
1453185,1603,0.07
1367955,1807,0.92
1367955,1608,0.07
1412232,1807,0.92
1412232,2100,0.07
1453199,1807,0.92
1453199,1608,0.07
1380917,1608,0.92
1380917,1807,0.07
1366536,1807,0.92
1366536,1608,0.07
1388881,1807,0.92
1388881,1608,0.07
1425612,1608,0.92
1425612,1807,0.07
1460694,1608,0.756772404
1460694,1807,0.057580509
1453262,1603,0.92
1453262,1405,0.07
1472697,1807,0.92
1472697,1608,0.07
1319133,1602,0.92
1319133,1609,0.07
1453272,1608,0.92
1453272,1602,0.07
1362660,1807,0.92
1362660,1608,0.07
1456455,1807,0.92
1456455,1608,0.07
1421824,1807,0.92
1421824,1608,0.07
1340675,1405,0.92
1340675,1807,0.07
1363634,1807,0.92
1363634,1608,0.07
1412296,1807,0.92
1412296,1608,0.07
1340682,1807,0.92
1340682,1608,0.07
1366000,1807,0.92
1366000,1608,0.07
1445786,1608,0.92
1445786,1807,0.07
1376058,1608,0.92
1376058,1807,0.07
1412337,1807,0.92
1412337,1608,0.07
1354549,1807,0.92
1354549,1608,0.07
1376060,1807,0.92
1376060,1608,0.07
1320828,1608,0.92
1320828,1807,0.07
1335699,1807,0.92
1335699,1608,0.07
1376061,1807,0.92
1376061,1608,0.07
1412352,1807,0.92
1412352,1608,0.07
1456507,1807,0.92
1456507,1608,0.07
1330914,1608,0.92
1330914,1603,0.07
1452503,1807,0.92
1452503,1608,0.07
1376098,1608,0.92
1376098,1807,0.07
1352575,1608,0.92
1352575,1807,0.07
1412448,1807,0.92
1412448,1608,0.07
1387390,1608,0.92
1387390,1807,0.07
1399841,1807,0.92
1399841,1608,0.07
1473396,1608,0.92
1473396,1606,0.07
1430282,1514,0.92
1430282,1807,0.07
1399820,1608,0.92
1399820,1602,0.07
1387821,1807,0.92
1387821,1608,0.07
1412498,1807,0.92
1412498,1608,0.07
1478576,1807,0.92
1478576,1608,0.07
1412500,1608,0.92
1412500,1408,0.07
1399807,1609,0.92
1399807,1610,0.07
1412509,1100,0.92
1412509,1608,0.07
1424371,1602,0.92
1424371,1608,0.07
1412538,1210,0.92
1412538,1207,0.07
1412571,1807,0.92
1412571,1608,0.07
1387866,1608,0.92
1387866,1807,0.07
1474172,1608,0.92
1474172,1807,0.07
1341440,1807,0.92
1341440,1608,0.07
1331088,1608,0.92
1331088,1807,0.07
1331093,1608,0.92
1331093,1602,0.07
1360950,1510,0.92
1360950,1610,0.07
1391902,1807,0.92
1391902,1608,0.07
1478539,2004,0.595583436
1478539,1807,0.045316131
1371130,1807,0.92
1371130,1608,0.07
1368127,1606,0.92
1368127,1608,0.07
1410250,1608,0.92
1410250,1807,0.07
1473099,1608,0.92
1473099,2100,0.07
1412792,1608,0.538231556
1412792,1807,0.040952401
1412798,1807,0.92
1412798,1608,0.07
1412804,1807,0.92
1412804,1608,0.07
1376224,1807,0.92
1376224,1608,0.07
1346844,1807,0.92
1346844,1608,0.07
1473259,1608,0.92
1473259,1807,0.07
1360839,1608,0.92
1360839,1603,0.07
1449199,1606,0.92
1449199,1505,0.07
1410990,1608,0.92
1410990,1603,0.07
1360827,1608,0.92
1360827,1603,0.07
1476438,1608,0.92
1476438,1807,0.07
1376257,1608,0.92
1376257,1807,0.07
1401790,1807,0.92
1401790,1608,0.07
1399713,1608,0.92
1399713,1807,0.07
1318302,1606,0.92
1318302,1608,0.07
1387910,1408,0.92
1387910,1807,0.07
1449690,1608,0.92
1449690,1603,0.07
1422457,1608,0.92
1422457,1602,0.07
1367238,1807,0.92
1367238,1608,0.07
1362020,1807,0.92
1362020,1302,0.07
1379399,1608,0.92
1379399,1405,0.07
1367233,1608,0.92
1367233,1807,0.07
1342893,1807,0.92
1342893,1608,0.07
1360753,1608,0.92
1360753,1807,0.07
1399625,1807,0.92
1399625,1602,0.07
1399620,1807,0.92
1399620,1608,0.07
1346863,1608,0.92
1346863,1807,0.07
1399619,1603,0.59467788
1399619,2004,0.04524723
1428594,1608,0.92
1428594,1807,0.07
1463042,1807,0.92
1463042,1608,0.07
1324125,1809,0.92
1324125,1807,0.07
1376333,1606,0.92
1376333,1608,0.07
1399614,1807,0.92
1399614,1608,0.07
1466781,1608,0.92
1466781,1603,0.07
1317031,1807,0.92
1317031,1608,0.07
1376401,1608,0.92
1376401,1807,0.07
1360570,1807,0.92
1360570,1608,0.07
1482171,1608,0.92
1482171,1602,0.07
1405194,1608,0.92
1405194,1603,0.07
1393404,1807,0.92
1393404,1608,0.07
1410520,1608,0.92
1410520,1807,0.07
1399521,1807,0.92
1399521,1608,0.07
1375627,1807,0.92
1375627,1608,0.07
1328880,1608,0.92
1328880,1602,0.07
1451804,1807,0.92
1451804,1608,0.07
1346250,1807,0.92
1346250,1608,0.07
1411082,1608,0.92
1411082,1807,0.07
1331502,1807,0.92
1331502,1608,0.07
1337216,1606,0.92
1337216,1608,0.07
1368314,1807,0.92
1368314,1608,0.07
1476460,1807,0.92
1476460,1608,0.07
1356784,1807,0.92
1356784,1608,0.07
1476478,1608,0.92
1476478,1807,0.07
1401895,1606,0.92
1401895,1608,0.07
1386958,1608,0.92
1386958,2100,0.07
1456772,1807,0.92
1456772,1608,0.07
1322040,1807,0.92
1322040,1608,0.07
1399441,1602,0.92
1399441,1608,0.07
1404492,1807,0.92
1404492,1209,0.07
1331581,1807,0.92
1331581,1602,0.07
1413426,1807,0.92
1413426,1608,0.07
1316206,1505,0.92
1316206,1405,0.07
1392016,1807,0.92
1392016,1608,0.07
1431809,1608,0.92
1431809,1807,0.07
1456815,1603,0.92
1456815,1613,0.07
1428351,1608,0.870570608
1428351,1614,0.066239068
1340765,1608,0.92
1340765,1602,0.07
1478933,1608,0.92
1478933,1603,0.07
1442800,1807,0.92
1442800,1608,0.07
1360252,1807,0.92
1360252,1407,0.07
1360250,1807,0.92
1360250,1407,0.07
1376613,1807,0.92
1376613,1608,0.07
1430612,1606,0.92
1430612,1807,0.07
1455855,1807,0.92
1455855,1608,0.07
1474549,1608,0.92
1474549,1806,0.07
1337221,1608,0.92
1337221,1807,0.07
1484499,1603,0.92
1484499,1807,0.07
1387407,1602,0.894718768
1387407,1203,0.068076428
1379184,1608,0.92
1379184,1602,0.07
1384510,1807,0.92
1384510,1608,0.07
1318045,1608,0.92
1318045,1100,0.07
1456872,1606,0.92
1456872,1807,0.07
1375698,1807,0.92
1375698,1608,0.07
1474603,1807,0.92
1474603,1608,0.07
1400803,1807,0.92
1400803,1608,0.07
1450175,1608,0.92
1450175,1807,0.07
1316257,1807,0.92
1316257,1603,0.07
1459386,1807,0.92
1459386,1608,0.07
1471673,1605,0.92
1471673,1602,0.07
1442709,1608,0.92
1442709,1808,0.07
1414100,1807,0.92
1414100,1608,0.07
1359980,1807,0.92
1359980,1608,0.07
1371799,1807,0.92
1371799,1608,0.07
1352807,1608,0.92
1352807,2100,0.07
1321326,1513,0.92
1321326,1608,0.07
1377746,1608,0.92
1377746,1602,0.07
1384427,1807,0.92
1384427,1608,0.07
1319078,1807,0.92
1319078,1608,0.07
1473397,1807,0.92
1473397,1608,0.07
1456927,1608,0.92
1456927,1807,0.07
1347738,1807,0.92
1347738,1606,0.07
1455034,1608,0.92
1455034,1807,0.07
1379253,1807,0.92
1379253,1608,0.07
1376728,1608,0.92
1376728,1807,0.07
1376738,1807,0.92
1376738,1608,0.07
1399036,1807,0.92
1399036,1608,0.07
1362896,1807,0.92
1362896,1608,0.07
1409863,1807,0.92
1409863,1608,0.07
1347113,1606,0.92
1347113,1807,0.07
1454230,1807,0.92
1454230,1608,0.07
1381509,1608,0.92
1381509,1807,0.07
1448505,1608,0.92
1448505,1807,0.07
1321345,1807,0.92
1321345,1608,0.07
1473418,1807,0.92
1473418,1606,0.07
1366922,1608,0.92
1366922,1807,0.07
1466184,1608,0.92
1466184,1603,0.07
1332141,1608,0.92
1332141,1807,0.07
1409807,1807,0.92
1409807,1608,0.07
1427991,1807,0.92
1427991,1608,0.07
1380850,1807,0.92
1380850,1608,0.07
1384027,1608,0.92
1384027,1807,0.07
1439784,1303,0.92
1439784,1807,0.07
1316253,1807,0.92
1316253,1608,0.07
1387230,1807,0.92
1387230,1608,0.07
1393657,1807,0.92
1393657,1608,0.07
1362944,1608,0.92
1362944,1602,0.07
1450071,1608,0.92
1450071,1807,0.07
1404436,1608,0.92
1404436,1807,0.07
1328639,1807,0.92
1328639,1603,0.07
1387405,1608,0.92
1387405,1603,0.07
1321372,1807,0.92
1321372,1608,0.07
1392282,1807,0.92
1392282,1608,0.07
1377966,1807,0.92
1377966,1608,0.07
1411450,1608,0.92
1411450,1603,0.07
1457077,1608,0.92
1457077,1908,0.07
1359560,1807,0.92
1359560,1608,0.07
1383599,1807,0.92
1383599,1608,0.07
1448110,1807,0.92
1448110,1608,0.07
1321945,1807,0.92
1321945,1608,0.07
1332403,1807,0.92
1332403,1608,0.07
1381329,1608,0.92
1381329,1807,0.07
1457219,1603,0.92
1457219,1613,0.07
1442857,1807,0.92
1442857,1608,0.07
1353706,1608,0.92
1353706,1807,0.07
1355698,1807,0.92
1355698,1613,0.07
1409674,1807,0.92
1409674,1608,0.07
1454095,1608,0.92
1454095,1807,0.07
1381951,1606,0.92
1381951,1513,0.07
1347630,1807,0.92
1347630,1608,0.07
1424399,1807,0.92
1424399,1608,0.07
1415354,1807,0.92
1415354,1608,0.07
1381565,1807,0.92
1381565,1608,0.07
1415457,1608,0.92
1415457,1807,0.07
1415460,1807,0.92
1415460,1608,0.07
1475016,1807,0.92
1475016,1608,0.07
1415548,1608,0.92
1415548,1603,0.07
1361685,1807,0.92
1361685,1603,0.07
1382107,1608,0.849440968
1382107,1602,0.064631378
1392428,1807,0.92
1392428,1608,0.07
1409632,1807,0.92
1409632,1608,0.07
1322379,1303,0.92
1322379,1807,0.07
1442544,1807,0.92
1442544,1602,0.07
1415623,1608,0.92
1415623,1602,0.07
1415697,1608,0.92
1415697,1505,0.07
1382100,1807,0.92
1382100,1407,0.07
1335187,1602,0.473333376
1335187,1807,0.036014496
1456040,1807,0.92
1456040,1608,0.07
1381551,1807,0.92
1381551,1608,0.07
1323620,1807,0.92
1323620,1608,0.07
1393735,1603,0.92
1393735,1807,0.07
1382099,1608,0.92
1382099,1405,0.07
1337849,1807,0.92
1337849,1608,0.07
1323597,1608,0.92
1323597,1807,0.07
1393748,1606,0.719644608
1393748,1807,0.054755568
1465594,1807,0.92
1465594,1608,0.07
1329121,1608,0.92
1329121,1807,0.07
1332934,1608,0.92
1332934,1807,0.07
1337814,1606,0.92
1337814,1807,0.07
1322625,1807,0.92
1322625,1608,0.07
1424231,2100,0.92
1424231,1603,0.07
1411550,1807,0.92
1411550,1608,0.07
1392651,1807,0.92
1392651,1608,0.07
1451865,1807,0.92
1451865,1608,0.07
1358788,1608,0.92
1358788,1602,0.07
1409601,1608,0.92
1409601,1602,0.07
1341577,1608,0.92
1341577,1402,0.07
1333022,1606,0.92
1333022,1807,0.07
1337780,1807,0.92
1337780,1608,0.07
1456166,1503,0.92
1456166,1807,0.07
1429527,1608,0.92
1429527,1808,0.07
1342787,1608,0.92
1342787,1807,0.07
1440063,1608,0.92
1440063,1807,0.07
1356513,1807,0.92
1356513,1608,0.07
1450019,1807,0.92
1450019,1606,0.07
1367841,1807,0.92
1367841,1602,0.07
1388339,1807,0.92
1388339,1608,0.07
1457538,1807,0.92
1457538,1608,0.07
1323497,1608,0.92
1323497,1807,0.07
1340946,1608,0.92
1340946,1603,0.07
1370753,1608,0.92
1370753,1807,0.07
1446316,1807,0.92
1446316,1608,0.07
1333090,1807,0.92
1333090,1608,0.07
1446024,1510,0.92
1446024,1807,0.07
1373602,1807,0.92
1373602,1402,0.07
1416820,1603,0.92
1416820,1807,0.07
1440136,1807,0.92
1440136,1608,0.07
1475292,1608,0.92
1475292,1603,0.07
1417229,1807,0.92
1417229,1608,0.07
1461747,1602,0.92
1461747,1608,0.07
1450140,1807,0.92
1450140,1608,0.07
1392730,1807,0.92
1392730,1608,0.07
1392739,1807,0.92
1392739,1608,0.07
1392748,1807,0.92
1392748,1608,0.07
1443907,1807,0.92
1443907,1608,0.07
1326159,1807,0.92
1326159,1608,0.07
1392750,1807,0.92
1392750,1608,0.07
1341236,1807,0.92
1341236,1608,0.07
1316193,1807,0.92
1316193,1608,0.07
1333408,1602,0.92
1333408,1608,0.07
1354079,1807,0.92
1354079,1608,0.07
1341248,1606,0.92
1341248,1608,0.07
1367899,1807,0.92
1367899,2100,0.07
1409517,1602,0.92
1409517,1608,0.07
1392804,1608,0.92
1392804,1807,0.07
1409516,1608,0.92
1409516,1807,0.07
1409512,1608,0.92
