display_id,uuid,document_id,timestamp,platform,geo_location
45,63bac1b4673c4a,1783487,3244,2,US>MS>718
46,3318933faaf426,1279759,3297,2,US>GA>524
47,aa2c669077aba3,1778648,3389,1,CA>SK
48,a366a33daa5e11,1774758,3410,3,US>MO>632
49,3d748ab5a823a1,1624392,3472,2,US>FL>534
50,8a872181d66687,314245,3574,1,AU>01
51,49f6ddc4e5908a,1761329,3597,2,US>OR>820
52,7c438b2ac7c5fb,48475,3687,3,US>IL>602
53,d018a2164549a2,1756378,3714,1,US>MN>613
54,2a276655e586b3,1060089,3788,1,US>AZ>753
55,43a1ccb394e0a2,844554,3891,1,AU>07
56,7f9b8ead7a7162,1108855,3925,2,CA>ON
57,2507421d7eedb0,813249,3938,2,US
58,8c6671720f0c11,1658407,3963,2,US>NJ>501
59,54fd293b751bbc,1768025,4009,2,US>UT
60,27a93bda59fc7e,1166114,4242,3,US>WA>819
61,40cdab3fe6fda2,1282043,4554,2,US>LA>622
62,65861840b3ab9f,1781623,4651,2,US>AZ>789
63,df3451ceb2d99b,1790354,4955,2,US>CA>862
64,9a0a74debb45fc,38915,5058,1,US>GA>561
65,68eea10a276986,1154100,5163,3,US>CO>751
66,17bc948fe67b7f,1357917,5182,1,US>CA>803
67,cdce8c4d4f9434,1778533,5273,1,CA>ON
68,d42f60c7dc7f92,488546,5344,2,US>FL>548
69,55cb2bec420633,1778538,5415,1,US>IL>602
70,15bbffca05aebf,1555001,5456,2,US>IN>527
71,2afee50f205cb1,1760902,5508,1,US>CA>862
72,a6c7d0229e2530,1760734,5607,2,US>WI>669
73,2c2586fe531c8d,1769250,5674,2,US>NJ>501
74,9dfe4ad5813443,1778538,5695,3,US>KS>605
75,bad66ee1699355,1720554,5706,1,US>PA>574
76,23c6c76aeab262,1727629,5723,3,US>IL>609
77,9e9866470f680f,1788062,5778,1,US>CA>825
78,1ffb4c8e18c320,1586178,5785,2,US>AZ>753
79,9d376148017289,1672143,5793,1,US>NM>790
80,7023cf379cec9c,1779518,5822,1,US>FL>548
81,b26853f605c97c,1757148,5905,3,US>WI>669
82,b0031695192c81,1715349,5972,3,US>TX>623
83,7dd8da41c41718,1762838,6027,1,US>CO>751
84,b761ff43b8a87e,1461902,6115,2,US>CA>803
85,1fe42daebb3021,1762204,6124,1,US>TN>640
86,b12d034c740cb1,316212,6148,2,US>OR>820
87,99e5e9e233a5cb,1794514,6205,2,US>CA>807
88,2febc923d8e514,1527657,6273,2,US>PA>508
89,abcd960e58c0e1,1785043,6278,2,US>PA>504
90,7d1fd1378662bc,1750826,6353,3,CA>ON
91,a74eaa470ab08a,1179111,6450,2,US>MD>576
92,4cf16fa8ec289b,194544,6558,2,US>SC>546
93,9abc1869e2f3e2,1652031,6690,2,US>MA>506
94,36c77d0e1b8267,1766619,6798,2,US>CA>862
95,d39118a463c9a5,1788332,7086,2,US>MA>506
96,68e042dba31b98,497913,7113,2,US>AZ>753
97,e065fb1ce7c70d,1749540,7134,1,CA>SK
98,938e21a1f2da78,1794259,7191,1,US>CA>807
99,7aaa604db0c221,314345,7253,1,AU>02
100,501c79f343ad29,1717049,7378,1,US>CA>825
101,3abf1630ff91c5,1029942,7396,1,CA>BC
102,c1802c8a57055b,1744629,7523,3,US>NV>839
103,53b8eaa89f1878,1574467,7539,1,US>MO>616
104,8157814e3d196f,1757309,7673,2,US>CA>807
105,51cd35d6a8d8fd,1766939,7805,1,US>IL>602
106,36f0d66b583e3d,1788531,7873,2,US>NM>790
107,20b0db64279f06,1108855,7999,2,US
108,848c50aa4f11af,1752857,8148,3,US>CA>807
109,7b8499caf1543c,380164,8149,2,US>IN>509
110,c64ac98a172430,1778659,8339,2,US>CA>828
111,ac741618c61200,1598215,8359,2,US>AL>691
112,60268e8f181256,1711467,8371,2,US>AZ>753
113,2647ff3a18608b,1794257,8495,2,US>FL>539
114,71e089f7048271,687573,8513,2,US>CA>803
115,2e0409d4a989f6,1789106,8648,1,CA>ON
116,16713f17d0274f,1154097,8698,3,US>TX>623
117,1b325e2d108966,1746417,8749,3,US>TX>618
118,697775b8d6d04e,234324,8971,1,US>CA>803
119,a2ddf096ae1d1b,1535449,8976,3,US>MA>506
120,22a33828f343ee,1773546,9039,2,US>AZ>753
121,9aa89b0a3c985b,1788470,9048,3,US>CA>807
122,a2f7248105eddf,1771341,9084,2,US>CA
123,cc449bf9f99c89,1699883,9111,3,US>MI>505
124,f155caedb5b0b3,428938,9114,1,US>ME>500
125,7fffd4843a3580,1778783,9233,2,US>FL>528
126,550d2ff5085127,1793391,9341,3,US>WA>819
127,d0a063c17a7da2,1182820,9355,3,US>PA>504
128,b8138dc1652a8b,1743730,9481,3,US>NV>839
129,81053c0f139706,1795167,9529,2,US
130,c66dab1516cb83,1697627,9671,1,US>TX>618
131,3486a29c27bf99,1574486,9944,1,CA>QC
132,69f8e7151d7204,1789548,10079,2,US>FL>534
133,e51d8d211dcbdd,1691148,10286,2,US
134,c8845af5ed6335,1757487,10341,1,US>NY>501
135,2bddcbc40c008f,1298308,10365,2,US>KS>603
136,2028b0a2ad323e,225790,10443,1,US>CO>751
137,9e50684b9997b8,1670317,10472,1,CA>ON
138,b15fde00df152a,1782482,10529,3,US>NJ>501
139,d030149723ef15,1785066,10539,1,US>WA>881
140,52eb3ef02c0917,1689376,10681,2,US>WA
141,6ab39487c3aa9e,1094517,10813,2,US>IL>602
142,8b63f04e512965,1794428,10868,2,US>CA>803
143,3e816990bfce39,1771292,10874,1,CA>ON
144,bcdcfd0dec0b59,1795013,11042,1,US>CA>807
145,9ac8ab07def656,1726698,11050,1,AU>07
146,cc848dea324952,1320212,11062,1,CA>NS
147,e8db0b219ded42,1769987,11161,2,US>IL>675
148,9adce6a5363308,1205772,11202,2,US>LA>612
149,9bea3b1bf43d02,849707,11397,2,US>MI>563
150,c15effaceaa7b7,1772970,11414,2,US>AZ>753
151,1c93177278885e,442425,11417,3,US>FL>561
152,8322206cef7c8c,1760555,11487,2,US>IL>602
153,f907ef01ea3f11,1778648,11634,1,CA>NB
154,df89a8a1180e48,10903,11789,1,US>CA>811
155,fea73073215d32,1083683,11808,1,US>MD>511
156,bb10f422024cdc,313956,11926,1,US>CA>804
157,5945367f805d42,821391,11979,1,US>NY>501
158,a829cd392e8574,1789836,11995,2,US>CA>807
159,bcd798ee3ddedb,1532211,12066,2,US>IL>602
160,2af2069815b71a,578820,12139,3,US>MO>609
161,84fea8de4e53ef,1205772,12208,2,US>TX>623
162,6d0f598944d622,1793819,12279,2,US>NY>501
163,69c93c92803ad3,1179111,12347,2,AU>02
164,d0fbcc56081af6,1766147,12363,2,US>OR>820
165,43de12e2fab01f,1446302,12364,2,US>IA
166,d3975e123d8e82,1773952,12500,2,US>CA
167,fcbcde0ccf8a8b,1722769,12576,3,US>WI>617
168,22ce82a9da4bd5,1760776,12761,2,US>NY>532
169,df9ed922c00fee,1738701,12806,2,US>CA>803
170,b2778a037a571e,1773530,12840,1,US>TN>640
171,75b459f40988f8,1742659,12857,3,US>IL>602
172,c454cfafdf42c6,1743028,12863,3,US>CA>800
173,71eaa0baec2dc4,1114008,12872,2,US>IN>602
174,4ca0a6a76f7ac0,1741109,12961,2,AU>07
175,323a23a26e490a,1780975,13035,1,CA>MB
176,be97b0e7d49165,1793996,13127,3,US>SD>764
177,2d7b2cb3ffe639,1668159,13166,1,US>WA>820
178,bcfbb212db7f84,1793288,13313,2,US>GA>524
179,8c2d763a23cf2f,1473713,13342,2,US>NY>501
180,53171cadcfce48,1753174,13343,2,US
181,6ce9e817634065,38922,13397,1,US>WA>819
182,ae4e11d32089a4,1765799,13432,1,US>CA>803
183,468459f6fc3f4c,1730683,13450,1,US>TX>623
184,255771545de6de,1446279,13505,2,US>IA>637
185,c53f277065a5df,1770932,13630,2,US>WA>819
186,73466487fcfc3a,1378842,13641,2,US>OR>820
187,c3dd2fb676caaf,1788889,13660,1,US>CA>807
188,1c4dfc999256f2,1678876,13684,1,US>CA>807
189,6206d1f72c3b56,1794453,13799,1,US>AZ>753
190,8a41dc0149ae38,1786673,13799,3,US>FL>528
191,c2020b8af632c6,1741165,13889,1,AU>02
192,a6c3b67f8cc1f3,1743986,13982,2,US>IL>602
193,ac94d923fc0f23,1785066,13992,1,US>WI>702
194,435c948432254f,1729610,14167,1,US>WA>819
195,d7cd99332b1d63,1675068,14178,2,US>IL>602
196,39f8996bfe2cfc,1788129,14204,3,US>WA>819
197,f1534f0ae697ce,1795167,14293,2,US>AZ>753
198,ac240ae155b2bd,1763009,14361,1,US>CA>803
199,8fcbacb53915b0,1786677,14443,2,US>CA>803
200,cb30f9510a254e,339567,14470,1,US>NY>514
201,2cf1e21bf16db2,1528395,14490,1,US>MI>540
202,7ae322ac7bef5a,1757068,14492,2,US>GA>524
203,71576e3e425eae,814333,14502,2,US>TX>623
204,230d72ead4c246,54463,14672,2,US>NY>501
205,66b79d292e9c4c,386132,14830,3,US>WI>617
206,6e6a0d5d8e4064,1621658,14860,2,US>CA>825
207,d88bba73951a3a,1775172,14889,2,US>CA>866
208,9d2e2eb5afdcb5,1788280,14921,1,US>CA>862
209,b5c94ff7614769,1731145,15016,1,US>OH>535
210,cf99024bdca549,1767876,15046,2,US>TX>618
211,20f30fa0326404,1736527,15064,3,US>TX>618
212,f1de2ef3897c14,938217,15183,2,PH
213,9f3470491ba68b,524987,15241,2,US>IL>602
214,2895ab6cd0694e,1319891,15273,1,CA>ON
215,d4f727ca378fae,1717049,15390,1,US>TX>641
216,949e7e82c237f1,1746382,15754,1,US>OK>650
217,bc0de2903117a0,573399,15873,2,US>AL>522
218,95dbafdf842452,1775824,15906,1,US>CT>533
219,9743fbaf961cde,1766590,16037,2,CA>AB
220,1c3c2ad74bc96a,1179111,16089,1,US>NV>839
221,8612229018c75d,1793996,16100,1,US>SD>764
222,d72b1fdfd5eb1c,1447813,16135,3,US>OH>515
223,826e979545ad79,1782408,16164,3,US>FL>528
224,c726993b764724,1642402,16326,2,US>CA>803
225,98ecf4f28a247c,1773809,16402,3,US>TX>618
226,d339119ed42827,1756913,16428,3,US>MO>619
227,6603534f9fe712,1783262,16440,1,US>IL>602
228,c339d7a0fbec03,1772516,16440,1,US>CA>855
229,fc514cfac3fd61,1776403,16513,1,US>AZ>789
230,54e8c65bdcf9f3,1788660,16546,2,US>NV
231,17dd35a7473272,14337,16631,3,US>CA>803
232,528001bd1ad751,1749638,16642,2,US>NY>514
233,6afc33e98b077c,1697627,16694,1,US>KS>616
234,1985ab030d31f0,1781986,16735,1,US>CO>751
235,992c1c54fc12fb,1179111,16833,2,ZA
236,d7aa2b572f9f93,1542792,16840,2,US>GA>524
237,6fd42c713798a1,1679869,16849,2,US>FL>528
238,a95ba37b0fb639,460962,17162,2,US>OH>542
239,f15f488cfcdcdd,349472,17275,2,US>TX>623
240,887052b5d2d3e2,1795002,17422,1,US>HI>744
241,49b9db7d6afad7,1647323,17428,1,US>OK>650
242,9ed9faa869651a,1353017,17788,2,US>TX>623
243,3bf8010852a118,1717049,17839,1,US>TX>618
244,59f8e8bad4608b,1793874,17933,2,US>LA>612
245,442f94dade07fc,1560299,17992,2,US>CA>807
246,887052b5d2d3e2,1795002,18001,1,US>HI>744
247,53cf429ac7247c,1463821,18063,2,US>FL>528
248,e04f485b458ea8,391722,18064,3,US>CA>807
249,63a6927eb47903,1776275,18070,1,US>ID>757
250,1978b5e944f4db,1734020,18153,1,US>TX>623
251,83551abeb013f4,1451409,18219,1,US>IN>588
252,5ab105d8e0defb,1138668,18267,1,AE>03
253,5819bc38e2d376,1786673,18306,3,US>MD>511
254,f1d8021d8bdc3e,1762298,18319,2,US>NY>501
255,45b7b81fe921d9,1793182,18383,2,US>CA>807
256,7d0729f4c3dbf0,1762066,18437,3,US>CA>825
257,5cab6e856cafc0,1778461,18772,2,US>FL>528
258,8f1f3780bccc86,4099,18825,3,US>CO>751
259,2cddbbbf333dac,1770873,18947,2,US>GA>524
260,74ec1971e5b61e,1750136,19029,3,US>NY>501
261,1607a0a99313b8,1134799,19086,1,US>NY>501
262,47fd17dac40276,1079093,19135,2,US>TX>618
263,9f100978a07712,1756801,19235,2,US>FL>539
264,2545cd2fa3be7a,1782565,19292,2,US>TX>618
265,d13388819bb72f,1750060,19430,2,US>IL>602
266,d942a20cbad310,1433596,19573,2,US>TX>618
267,4515fd4391ace9,1657337,19888,1,US>GA>524
268,317372eba82b3f,1775424,19960,2,US>GA>524
269,eae7c957044a7e,1400574,20060,3,US>IL>602
270,662cb383ea890b,1771758,20105,2,US>TX>623
271,fc73358a5d487f,1792396,20137,2,US>TX>623
272,86834bbd086e9d,1446297,20138,2,US>NC>560
273,53884a88f34817,1711029,20152,2,US>TX>634
274,e234b90443fcc7,1759586,20313,1,US>MO>609
275,df454e7dc4c106,1760969,20335,1,AU>02
276,35b764b5bfaa77,1419822,20513,2,AU>04
277,385580ab44702c,1745172,20558,2,US>OH>510
278,34f18a02d2353f,1179111,20626,2,US>TX>627
279,81e6d5e0e53a4c,1792753,20677,1,US>CA>807
280,f97c1f62eb09fa,1734076,20725,1,US>TX>600
281,6b77cbe6f43291,27503,20772,2,US>CO>751
282,cd088a533b8052,1759856,20860,2,US>VA>511
283,3fa25ede6b45e4,1351329,20867,3,US>CA>803
284,a53d5e9cabf3fa,1790223,20909,1,US>PA>508
285,88f231ad559f18,1735810,20920,1,JP>40
286,ec1cc9625cb8db,1747682,20922,2,US>IA>679
287,711ae740a598fb,1003150,21154,2,SG>00
288,e14a2f42ef2ad9,1733251,21238,1,US>TX>709
289,37e4bf782e78a2,1780319,21335,1,US>OH>535
290,41f6889cf26807,1768025,21343,1,US>KS>616
291,c745cf53f15066,1467277,21382,1,US>CA>803
292,a614acca1241fa,1795167,21397,2,US>AZ>789
293,c7f3cfa2694761,1746106,21400,3,CA>BC
294,76eda7d20185ec,1757072,21408,2,US>CA>807
295,ef54284101bdc7,1096954,21494,2,US>CA>803
296,510140397405ec,1752895,21524,2,US>LA>622
297,d80cff54bed21f,1777733,21540,1,US>NJ>501
298,a115350eae5797,1787174,21601,2,US>IL>602
299,3953991c2f8f70,1765794,21875,2,AE>02
300,f5fa608793bf79,1452524,21962,2,CA>ON
301,90707e94fa92d3,1783540,21994,2,US>KY>541
302,73bf92208293f9,1743986,22029,2,CA>QC
303,c406be5b4ab0fe,1780213,22154,2,CA>BC
304,acd78ac56bf29d,462622,22318,3,US>CA>807
305,2449ad33d55445,1773718,22324,2,US>NY>501
306,a8aeee6f596618,1701229,22393,3,GB>A7
307,74c0d095f3c3dd,339717,22414,1,US>MD>511
308,e1e95ae76e5be9,813249,22457,3,US>CO>751
309,6ddac3ea833228,1767689,22500,3,US>CO>751
310,abec083cf373c1,1717049,22510,1,US>MD>511
311,693c24919a8274,1114783,22551,1,US>CA>866
312,ee44c2511f6a4a,1765799,22589,2,CA>ON
313,fe101fb85d9b6a,1762838,22617,2,US>MN>613
314,a1d5396b9c4fda,1791620,22684,2,US>CA>825
315,3ac3cfffb073c3,1538670,22720,2,US>TX>618
316,d0c0d72ce8b4eb,1743986,22753,2,US>FL>534
317,d1a718d5660aab,1789497,22777,1,US>CT>533
318,91a250c318db1c,1162381,22838,1,US>IL>602
319,37e0842fcbd6b8,1759089,22898,1,US>CA>807
320,3ec888c8c92e78,1620989,22899,1,AU>04
321,928d04e2c5c1a4,1774314,22949,2,US>IL>602
322,77e706f900aa8a,1778393,22980,1,US>NV>839
323,1d4167881e2d9e,1357169,23068,2,CA>MB
324,d0f7f08a5d9537,1049681,23118,2,CA>ON
325,7af3a6333c4adc,1779312,23220,2,US>CA>803
326,7a10348997f135,1757162,23482,1,IN>19
327,48661ee0d7e07a,1747235,23595,2,US>GA>524
328,af276656461382,1029759,23597,3,US>NC>560
329,28224193fa921a,1475599,23641,2,US>CA>803
330,d87afb71b5faba,1763349,23656,1,CA>AB
331,3d40b767786fce,1340752,23942,2,US>IL
332,7b8e0b2b62a9c6,751063,24025,2,US>PA>504
333,9d2740620d1ea6,1768769,24055,2,US>GA>524
334,c6ee1c56e4d5c0,1780644,24067,2,US>FL
335,46f17380f19cee,1779285,24079,2,US>NY>501
336,ce171fa865128f,1119159,24082,1,US>AR>670
337,1274f6a4c87c2e,1697627,24151,1,US>KS>605
338,d6bce8593ace98,1617261,24292,2,US>TX>618
339,61beb1b05fbedd,798827,24346,2,US>TX>618
340,31b670abc322ef,1770849,24433,2,US>FL>539
341,49ed4f67b9639e,1757457,24468,1,US>NY>514
342,270167ede69829,1788084,24570,2,US>CT>533
343,21acdd34927bf5,1179111,24683,2,CA>ON
344,92ed94ee530041,1779976,24716,2,US>IN>527
345,d25ba6c8fc5f97,1256606,24717,3,US>OR>820
346,6f06d4df6f035a,1566108,24781,2,US>FL>534
347,61f8735f8c4f6e,1316744,24878,2,US>MN>613
348,4515fd4391ace9,1657337,24950,1,US>GA>524
349,e5e26746e58cdc,1768769,24975,2,US>PA>504
350,4e2b2dfd34bff6,1785186,25104,1,US>KS>605
351,91a0573b2bb06a,1783407,25170,1,US>MI>551
352,f6eccdcd3e41be,1768769,25203,1,US>CA>807
353,90845093989e3d,1788332,25248,2,US>CA>807
354,fc1873b64958d9,1783281,25344,3,US>CA>862
355,9a0b455b2ac61f,1713482,25434,1,AU>07
356,aba7d2a882e1e3,1507976,25515,2,US>MI
357,d1ebe97f261301,1782413,25545,2,US>TX>625
358,19b0c934e7b4c0,551547,25600,3,US>CT>533
359,7a534b23ad09fd,647475,25702,3,CA>AB
360,3d78fbf9d731ec,227380,25784,1,ZA>05
361,61d97a0217eed4,1717049,25929,1,US>WA>819
362,37a7a4b85f4073,1321654,26240,2,US>TN>659
363,8562bf82d1e747,1752659,26470,1,US>WA>810
364,a15c6c01b9ee98,1097337,26568,2,US>CA>803
365,341e4565a8efd7,379909,26573,2,US>MA>506
366,b313cb2e8db1e9,1747870,26843,1,US>IL>602
367,9c76e4f155c76e,1452823,26913,3,US>NY>501
368,da8d06b7101a56,1649164,26915,2,US>WA>881
369,d86567393ec168,852872,26994,2,US>ID>757
370,73f023b075131b,938217,27548,2,US>NY>501
371,6137dfe4b67032,1179111,27679,2,US>MI>505
372,58d8e648a70552,1686623,27825,2,US>WA>819
373,e604be0e1878c8,1651556,27884,2,US>FL>561
374,33f9091ca023a5,1778911,27886,2,US>OH>510
375,ae217be7fee4b4,1760666,27891,1,US>AZ>753
376,f8fae9c082c03c,1531958,28065,3,US>TX>625
377,a56ac56f61f286,876570,28103,2,KR>11
378,d7e05943b1d839,1766510,28104,3,US>TX>625
379,90b9594b460dd7,1794250,28225,1,US>HI>744
380,3926ba65bd1762,641876,28292,3,US>PA>508
381,7a6c98a0d96956,1782508,28318,2,US>TX>612
382,988356e55e3575,1026091,28325,2,US>NY>501
383,eab1bba4faf498,1766619,28361,3,GN>04
384,fbc4db2fb168aa,1784090,28380,2,US>MS>673
385,dcb673269b2a5b,146678,28512,2,US
386,2882a95a642c64,1731059,28686,2,US>TX>641
387,b972c14e5a400e,1783635,28756,2,US>DE>504
388,6b696a6dfa305e,1773660,28942,2,US>PA>508
389,2353284dbaea55,1690149,29023,1,US>CA>807
390,11b53b6538db51,1642766,29157,2,US>TX>618
391,ef1cbdd6dff113,1772119,29238,2,CA>MB
392,c148fad0872fcb,1749823,29288,3,US>NY>532
393,f9bb5b77cc678a,1784666,29512,3,US>MD>511
394,dae6c6efa7c44b,1697627,29539,1,US>MA>543
395,98353d474817ce,1179111,29681,1,US>TX>623
396,90bced8ff7146b,1427567,29726,2,US>FL
397,409016b4d13ecf,1739573,29749,1,IN>10
398,f3f7dd126de3e8,257322,29799,1,US>UT>770
399,dcb2670c7010f8,387720,29941,3,US>CA>807
400,3955316f25bb29,78832,30111,2,US>VA>584
401,5a5b119e7accdc,1706096,30252,2,ID>04
402,e1a0fd066dd11d,1743028,30260,2,US>TX>618
403,541c0b889423f6,1655195,30272,1,US>VA>511
404,c997dc3b870bb4,1794120,30283,3,US>CA>807
405,d75271567f42f0,1794980,30310,2,US>CA>807
406,1ca87ac13a41b4,1409658,30657,1,CA>BC
407,9223e637e9f376,1773952,30764,2,CA>ON
408,a195f6bb8b633f,1464334,30780,3,US>WA>819
409,dd7674b0d7de2d,1542792,30860,2,US>NC>560
410,dd774b3b997991,256668,30904,1,AU>05
411,96f20934ccb1a3,1514641,30956,1,US>CA>825
412,c5331181a9452f,828190,31063,1,IN>38
413,cb866c1e0bea22,1742256,31182,2,US>MO>616
414,9d41d5b2cc54de,1742852,31204,3,US>CA>803
415,e9292bb979c1d2,916962,31239,1,US>GA>524
416,17b71604246770,1784386,31372,2,US>CA
417,a9b6ad2f4ca463,1686646,31407,2,US>CO>751
418,ebcf0f184dc693,1198481,31432,1,US>IL>602
419,941800747e361c,1756230,31518,2,US>AZ>753
420,eab4c7a4ad66f3,1777094,31535,2,US>MO>609
421,69abe2846c345f,1783645,31574,1,US>NC>560
422,48cc47caced1a5,1766147,31592,2,US>CA>803
423,8745c07d6f44d2,1757446,31670,2,IN>07
424,80f06d6930e1ff,713910,31692,1,US>TX>641
425,5eca2f6d7a668c,1715944,31791,1,US>IL>602
426,120328bb049e08,155412,32013,3,NZ>E7
427,c084b697fe6813,1678254,32224,1,US>CA>807
428,31c0e17bc4e436,1690915,32391,2,US>TX
429,5e41f3b9102e6e,1765463,32418,3,CA>ON
430,c56175b086b1be,1787381,32479,2,US>MO>609
431,73d25cb9e11439,1793288,32545,2,US>MD>511
432,ac5be9c408862c,1768840,32657,1,US>CA>807
433,44e317881dfec2,1119263,32683,2,US>TX>623
434,f147e79ed868cb,638579,32729,2,US>CA>803
435,745cb7674ced28,1108985,32750,2,US>NM>790
436,e05138443cb7eb,1380163,32760,2,US>CA>825
437,9d6633a268d444,18251,32940,2,US>CA>803
438,d14e23882213b1,1697627,33017,1,US>KY>649
439,aafa182ca1bbb9,1565455,33032,2,US>SC>570
440,2fdefaad232d9d,1790223,33132,2,US>NJ>501
441,cd7c5289ec1dde,1775449,33142,1,US>OH>515
442,65ea20d5538ec1,1753395,33223,3,US>NY>501
443,fe2d2db281f2d2,1771662,33299,2,US>NY>501
444,c0be806f387b3d,1760666,33331,1,US>CA>803
445,bb6b6d2ef445cf,1762185,33397,1,TW>03
446,227908f13bb48f,275868,33470,3,US>ID>760
447,a20dedb1b41a8f,1379106,33470,1,US>IL>609
448,4084f41b061ac6,1793288,33497,2,US>CA>803
449,70047a22d45431,1783262,33549,2,US>FL>528
450,79a30e3bba614f,1763108,33712,2,US>GA>524
451,812743d84178dd,1746099,33740,2,US>FL>528
452,dd981d9e683251,279665,33815,3,US>TX>633
453,f87d13d7066084,1753143,34049,1,AU>02
454,331430f6630966,1783040,34104,3,US>AK>743
455,f2855825ef4007,1753395,34224,3,US>WA>819
456,17dd79137c282b,1143985,34244,2,US>GA>524
457,b501f261041272,1772854,34293,2,OM>06
458,b50b9e5b56d333,1634385,34300,1,US>WA>819
459,c156ad4e69c8ed,43837,34357,1,AU>02
460,7924dcee41075a,1765644,34359,2,US>GA>524
461,a18dd071af2e5e,1530329,34361,1,US>FL>534
462,4389432287d9f9,1446231,34391,2,US>NC>517
463,85d999a1dd5483,1787133,34492,1,US>SD>764
464,c6c16afa8b5332,1573953,34521,3,US>FL>686
465,50f423d8e98313,1766484,34544,3,US>WA>820
466,24046f4af89896,1600648,34626,2,US>FL>534
467,f0c70e1d6f18cb,260653,34636,1,US>IL>602
468,d922d2a3c63507,1766147,34691,2,US>CA>803
469,42398773f79241,1573953,34706,2,US>CA>807
470,dfe49a22f2f289,1772849,34726,2,CA>ON
471,277636b1739ae4,814331,34833,2,US>DE>504
472,7ea90847ce0c6a,1740756,34983,2,US>TX>623
473,4991acf4539d48,1767609,35010,2,US>IL>602
474,8aab0a6d154e01,1098277,35057,1,US>NH>523
475,72379bca2c186c,1715349,35093,2,US>IL>602
476,e0e19bdcb4e83b,1697627,35121,1,US>TX>618
477,a9d23dc050df39,1794913,35210,3,US>TX>618
478,b1f1bdab8f4a5b,1776846,35285,2,SG>00
479,64211f80f8d784,1785969,35337,2,CA>ON
480,b99260360566e2,1116514,35370,2,US>CA>807
481,f2f4ef75142923,1743266,35428,2,US>IL>602
482,93da5c2281320f,1598215,35480,2,US>UT
483,abe667248886ba,1415447,35572,2,CA>ON
484,bb3ffadcc812a4,1777395,35662,1,US>ME>500
485,d9a936ea70561e,1787822,35696,2,US>CO>751
486,fc5d5dd569fd43,1730123,35812,2,US>OH>535
487,6610c190261701,1037066,35851,1,AU>07
488,3c35b3bdb21790,1766536,35965,1,US>TX>623
489,97fda504db74f5,1771662,36033,2,US>NY>501
490,ccce6b4f1af1c6,339762,36126,2,US>CA>807
491,3a0f864508e4f0,1757675,36184,1,NZ>E7
492,aff20bba804449,1790223,36244,2,US>CA>803
493,d3cdcba0cdd9aa,1781127,36264,3,CA>ON
494,688e2e0a69b7de,1278084,36278,1,US>WA>819
495,b2aaab965ee0af,1600264,36412,2,US>KS>605
496,1ebc05d117ee8e,986872,36452,2,CA>QC
497,a8e7d13c8b3d9e,1769127,36566,1,US>WI>702
498,43b18f6dc1696e,1451409,36646,1,US>NE>722
499,843081a1665021,339457,36690,2,IN>25
500,95edd91a6f61bf,1771088,36700,1,US>CA>807
501,d8ac5c125d595e,1776177,36716,1,US
502,5bacdb4d58b12e,1788221,36794,2,US>MN>676
