ad_id,document_id,campaign_id,advertiser_id
266,55238,45,76
267,55238,45,76
268,449208,38,19
269,449208,38,19
270,449208,38,19
271,483988,39,19
272,483988,39,19
273,483988,39,19
274,483988,39,19
275,483988,39,19
276,473038,34,19
277,473038,34,19
278,201581,35,19
279,201581,35,19
280,446683,14,19
281,56484,51,76
282,55238,45,76
283,55238,45,76
284,55238,45,76
285,56602,37,63
286,55909,37,63
287,51744,37,63
288,56871,44,76
289,56871,44,76
290,56871,44,76
291,56872,44,76
292,56872,44,76
293,56872,44,76
294,299572,23,19
295,299572,23,19
296,299572,23,19
297,56358,35,19
298,56886,37,63
299,56897,51,76
300,56897,51,76
301,56897,51,76
302,56897,51,76
303,56897,51,76
304,56139,53,86
305,56925,53,86
306,57039,53,86
307,57281,1,7
308,963801,54,19
309,692765,54,19
310,57348,40,68
311,58261,37,63
312,58278,56,39
313,58568,56,39
314,58569,56,39
315,58567,56,39
316,58612,56,39
317,58611,56,39
318,666031,57,19
319,722428,57,19
320,491786,57,19
321,58759,58,76
322,58761,58,76
323,58759,58,76
324,58761,58,76
325,58761,58,76
326,58760,58,76
327,722428,57,19
328,666031,57,19
329,666031,57,19
330,491786,57,19
331,577905,57,19
332,666031,57,19
333,58767,53,86
334,58278,56,39
335,58278,56,39
336,58277,56,39
337,58568,56,39
338,58567,56,39
339,58568,56,39
340,58568,56,39
341,58567,56,39
342,58568,56,39
343,58569,56,39
344,58759,58,76
345,58760,58,76
346,58759,58,76
347,58760,58,76
348,666031,57,19
349,666031,57,19
350,722428,57,19
351,722428,57,19
352,666031,57,19
353,722428,57,19
354,59127,37,63
355,59119,53,86
356,59244,37,63
357,59267,37,63
358,59276,45,76
359,59276,45,76
360,59277,45,76
361,59276,45,76
362,59277,45,76
363,59277,45,76
364,59277,45,76
365,59278,58,76
366,59278,58,76
367,59278,58,76
368,59278,58,76
369,361427,23,19
370,361427,23,19
371,13719,28,45
372,60215,37,63
373,60273,59,76
374,60477,53,86
375,60273,59,76
376,60273,59,76
377,60273,59,76
378,60755,60,76
379,60759,59,76
380,60759,59,76
381,60759,59,76
382,60759,59,76
383,60785,59,76
384,60785,59,76
385,60785,59,76
386,60946,59,76
387,60946,59,76
388,60994,37,63
389,60273,59,76
390,60273,59,76
391,60273,59,76
392,60273,59,76
393,56897,51,76
394,56897,51,76
395,56897,51,76
396,56897,51,76
397,61047,60,76
398,61047,60,76
399,60755,60,76
400,60755,60,76
401,61047,60,76
402,60755,60,76
403,60755,60,76
404,61091,37,63
405,61172,42,76
406,60273,59,76
407,60273,59,76
408,61361,37,63
409,61578,60,76
410,61553,53,86
411,61569,53,86
412,61778,37,63
413,62580,60,76
414,62580,60,76
415,56897,51,76
416,56897,51,76
417,61972,2,7
418,62580,60,76
419,62580,60,76
420,62582,60,76
421,62583,60,76
422,60273,59,76
423,60946,59,76
424,60273,59,76
425,62586,59,76
426,62586,59,76
427,62586,59,76
428,692069,54,19
429,692069,54,19
430,577899,16,19
431,577899,16,19
432,577899,16,19
433,577899,16,19
434,60190,16,19
435,58894,21,19
436,59303,21,19
437,57149,12,19
438,62852,10,19
439,62895,53,86
440,63111,51,76
441,63111,51,76
442,63111,51,76
443,63111,51,76
444,63111,51,76
445,63112,43,76
446,63112,43,76
447,63112,43,76
448,63084,53,86
449,63063,7,19
450,577878,25,19
451,577878,25,19
452,64138,54,19
453,64138,54,19
454,64820,59,76
455,64820,59,76
456,65153,2,7
457,56484,51,76
458,56484,51,76
459,56897,51,76
460,56484,51,76
461,56484,51,76
462,56484,51,76
463,577867,68,19
464,577867,68,19
465,76413,53,86
466,76781,70,76
467,76783,71,76
468,76786,72,76
469,76819,59,76
470,76819,59,76
471,76819,59,76
472,76824,43,76
473,76825,43,76
474,76825,43,76
475,76825,43,76
476,76872,37,63
477,50539,37,63
478,76900,37,63
479,838146,37,63
480,64398,37,63
481,77644,37,63
482,77933,76,76
483,77551,39,19
484,340840,34,19
485,940881,80,116
486,940875,80,116
487,941078,81,116
488,941048,81,116
489,941048,81,116
490,940881,81,116
491,938311,81,116
492,78351,69,8
493,61047,60,76
494,61047,60,76
495,78703,83,76
496,78703,83,76
497,78703,83,76
498,78703,83,76
499,78703,83,76
500,78703,83,76
501,78703,83,76
502,78703,83,76
503,78703,83,76
504,78653,84,115
505,78950,83,76
506,78950,83,76
507,78950,83,76
508,78950,83,76
509,78707,53,86
510,79615,37,63
511,79041,53,86
512,81361,37,63
513,80949,69,8
514,80960,69,8
515,81080,53,86
516,81164,69,8
517,81391,37,63
518,1030793,37,63
519,84139,37,63
520,81487,37,63
521,85362,37,63
522,83775,53,86
523,577846,1,7
524,78950,83,76
525,78950,83,76
526,78950,83,76
527,78950,83,76
528,78950,83,76
529,84319,84,115
530,84657,69,8
531,58624,30,27
532,1021538,37,63
533,85599,37,63
534,85310,53,86
535,85596,37,63
536,85897,37,63
537,85925,37,63
538,86157,37,63
539,78950,83,76
540,78950,83,76
541,78950,83,76
542,78950,83,76
543,78950,83,76
544,78706,83,76
545,78706,83,76
546,78706,83,76
547,78706,83,76
548,86566,69,8
549,87249,53,86
550,86618,69,8
551,88420,37,63
552,89283,37,63
553,577822,1,7
554,89556,37,63
555,89365,69,8
556,89577,37,63
557,857115,37,63
558,89815,37,63
559,89671,53,86
560,89756,53,86
561,90256,53,86
562,90859,37,63
563,90990,37,63
564,90883,90,138
565,515092,90,138
566,90984,37,63
567,90985,37,63
568,48704,37,63
569,1032567,90,138
570,1038933,90,138
571,90995,90,138
572,600571,90,138
573,1037690,90,138
574,1038110,90,138
575,1045826,90,138
576,91045,90,138
577,1037580,90,138
578,43866,37,63
579,91085,90,138
580,1031145,90,138
581,465788,90,138
582,1035482,90,138
583,1078861,90,138
584,1037463,90,138
585,1039200,90,138
586,495437,90,138
587,1027247,90,138
588,456478,90,138
589,45828,37,63
590,1071782,90,138
591,91275,53,86
592,91838,90,138
593,1071843,90,138
595,92007,53,86
596,103318,37,63
597,1028798,90,138
598,127636,37,63
599,1041450,90,138
600,1028302,90,138
601,52349,37,63
602,128059,53,86
603,128211,37,63
604,128434,40,68
605,1045711,90,138
606,1033387,90,138
607,1012570,90,138
608,1028774,90,138
609,129087,37,63
610,1072076,90,138
611,129200,37,63
612,129285,90,138
613,38976,77,53
614,129344,37,63
615,129362,37,63
616,129525,40,68
617,577867,68,19
618,577867,68,19
619,577867,68,19
620,577867,68,19
621,129575,37,63
622,129481,69,8
623,129799,69,8
624,129485,84,115
625,130591,37,63
626,130631,37,63
627,130632,37,63
628,130904,37,63
629,130906,37,63
630,130908,37,63
631,130905,37,63
632,130976,37,63
633,131169,37,63
634,1047142,90,138
635,131392,37,63
636,131400,2,7
637,131421,37,63
638,131425,37,63
639,1256199,90,138
640,1069024,90,138
641,131644,69,8
642,131760,53,86
643,130568,11,27
644,131789,53,86
645,131931,53,86
646,132004,37,63
647,132315,37,63
648,132347,37,63
649,132368,37,63
650,132406,99,76
651,132406,99,76
652,132428,37,63
653,132426,37,63
654,132713,37,63
655,132462,53,86
656,483865,100,122
657,133045,37,63
658,61578,102,76
659,62580,102,76
660,81089,102,76
661,61047,102,76
662,133152,37,63
663,133450,40,68
664,133540,37,63
665,133713,37,63
666,133796,90,138
667,133800,90,138
668,1037312,90,138
669,1029756,90,138
670,133808,90,138
671,133810,90,138
672,1080499,90,138
673,133735,53,86
674,134182,37,63
675,133963,53,86
676,134633,28,45
677,778571,97,153
678,1030020,90,138
679,134892,69,8
680,134887,53,86
681,135118,37,63
682,135206,37,63
683,135142,53,86
684,135255,37,63
685,135258,37,63
686,135284,37,63
687,135272,53,86
688,135431,37,63
689,483874,105,19
690,483874,105,19
691,483874,105,19
692,483874,105,19
693,135713,37,63
694,135710,37,63
695,135706,37,63
696,50765,37,63
697,135711,37,63
698,135712,37,63
699,47179,37,63
700,483874,105,19
701,483874,105,19
702,483874,105,19
703,449541,21,19
704,449209,21,19
705,135998,105,19
706,690942,10,19
707,47128,37,63
708,136087,37,63
709,135995,53,86
710,136188,107,174
711,136219,37,63
712,136248,37,63
713,136463,53,86
714,136618,37,63
715,136623,37,63
716,136897,40,68
717,137001,40,68
718,137059,53,86
719,137063,37,63
720,137182,69,8
721,137232,37,63
722,425017,111,19
723,425017,111,19
724,425017,111,19
725,425017,111,19
726,425017,111,19
727,137216,69,8
728,133537,53,86
729,137660,37,63
730,137659,37,63
731,137775,37,63
732,137773,37,63
733,138109,37,63
734,138134,37,63
735,135875,114,67
736,139447,1,7
737,139952,37,63
738,139950,37,63
739,140095,90,138
740,448651,117,19
741,448651,117,19
742,448651,117,19
743,448651,117,19
744,59276,45,76
745,59276,45,76
746,59276,45,76
747,59276,45,76
748,59276,45,76
749,59276,45,76
750,59276,45,76
751,59276,45,76
752,38735,115,53
753,140674,53,86
754,140679,69,8
755,458244,23,19
756,138822,12,19
757,1056703,10,19
758,88619,10,19
759,966761,10,19
760,697363,10,19
761,91919,10,19
762,980716,54,19
763,483873,54,19
764,577826,12,19
765,76787,60,76
766,60755,60,76
767,61047,102,76
768,62585,42,76
769,60273,59,76
770,140730,43,76
771,140729,43,76
772,140728,43,76
773,63112,43,76
774,56194,43,76
775,76782,70,76
776,140731,70,76
777,56872,70,76
778,140734,71,76
779,140732,71,76
780,140733,71,76
781,76783,71,76
782,140735,71,76
783,56484,51,76
784,63111,51,76
785,55238,45,76
786,55100,46,76
787,140736,73,76
788,140737,73,76
789,820779,119,19
790,976904,119,19
791,140812,37,63
792,141011,37,63
793,140992,37,63
794,141008,37,63
795,139511,53,86
796,141056,40,68
797,140568,53,86
798,140574,53,86
799,141338,53,86
800,141339,53,86
801,141458,74,113
802,141771,37,63
803,483920,121,19
804,483920,121,19
805,615339,121,19
806,677722,121,19
807,677722,121,19
808,141863,53,86
809,141971,40,68
810,615339,121,19
811,677722,121,19
812,677722,121,19
813,677722,121,19
814,142096,53,86
815,142397,37,63
816,677722,121,19
817,677722,121,19
818,142510,37,63
819,142678,37,63
820,55555,37,63
821,142778,37,63
822,142830,37,63
823,142897,37,63
824,142949,37,63
825,142942,37,63
826,143575,40,68
827,1038678,90,138
828,143627,69,8
829,143717,37,63
830,143494,53,86
831,677722,121,19
832,677722,121,19
833,677722,121,19
834,144011,53,86
835,1033446,90,138
836,144106,37,63
837,144107,37,63
838,143849,69,8
839,1029405,90,138
840,144367,29,46
841,144415,37,63
842,144499,37,63
843,144501,37,63
844,144599,37,63
845,144632,37,63
846,144716,37,63
847,144837,40,68
848,51139,37,63
849,145049,37,63
850,145758,123,207
851,145848,2,7
852,145873,37,63
853,145887,37,63
854,145896,37,63
855,145872,53,86
856,146072,40,68
857,146141,37,63
858,146223,53,86
859,146244,37,63
860,146283,53,86
861,146618,37,63
862,146790,37,63
863,146277,28,45
864,147238,37,63
865,146491,69,8
866,147402,37,63
867,147383,53,86
868,147530,69,8
869,147690,37,63
870,147369,129,141
871,148073,53,86
872,976904,119,19
873,976904,119,19
874,976904,119,19
875,148128,37,63
876,148168,37,63
877,147526,69,8
878,680945,130,19
879,680945,130,19
880,950617,130,19
881,950617,130,19
882,149362,37,63
883,51333,37,63
884,149367,53,86
885,149514,37,63
886,149516,37,63
887,149554,37,63
888,47228,37,63
889,149899,37,63
890,150008,40,68
891,150124,37,63
892,150167,37,63
893,150246,37,63
894,150291,37,63
895,150382,2,7
896,150312,53,86
897,150509,37,63
898,150511,37,63
899,150547,37,63
900,271581,141,39
901,150564,37,63
902,150569,69,8
903,150361,84,115
904,150658,69,8
905,150661,114,67
906,150710,37,63
907,150730,37,63
908,1028558,90,138
909,150937,1,7
910,151106,37,63
911,150976,69,8
912,151160,37,63
913,151202,37,63
914,151469,37,63
915,151466,37,63
916,151465,37,63
917,151471,142,241
918,151636,37,63
919,152016,53,86
920,151014,127,138
921,152510,37,63
922,152537,69,8
923,152631,37,63
924,152702,37,63
925,153190,37,63
926,153200,37,63
927,153257,37,63
928,153164,53,86
929,153566,147,50
930,153569,37,63
931,153687,53,86
932,153827,37,63
933,153858,37,63
934,144036,11,27
935,154105,125,214
936,154188,37,63
937,154648,37,63
938,154717,37,63
939,154701,37,63
940,154902,37,63
941,154947,53,86
942,155241,37,63
943,155439,37,63
944,155508,37,63
945,155569,37,63
946,155602,143,211
947,155502,53,86
948,155634,37,63
949,155834,143,211
950,155911,125,214
951,155888,53,86
952,156027,37,63
953,156059,37,63
954,156183,53,86
955,156324,90,138
956,156687,37,63
957,156678,37,63
958,156657,53,86
959,130227,161,267
960,157002,161,267
961,157004,161,267
962,157003,161,267
963,91418,161,267
964,157001,161,267
965,157005,161,267
966,157000,161,267
967,156936,160,265
968,637754,160,265
969,157236,37,63
970,157256,116,192
971,153557,28,45
972,157494,69,8
973,157628,53,86
974,157863,37,63
975,818300,165,265
976,818300,165,265
977,818300,165,265
978,818300,165,265
979,467187,165,265
980,467187,165,265
981,467187,165,265
982,467187,165,265
983,156934,165,265
984,158300,69,8
985,157668,164,19
987,158323,37,63
988,156415,147,50
989,158447,53,86
990,158598,40,68
991,158744,53,86
992,158861,89,129
993,158759,53,86
994,720533,28,45
995,159353,168,230
996,160046,69,8
997,160097,37,63
998,160098,37,63
999,160096,37,63
1000,465066,165,265
1001,465066,165,265
1002,465066,165,265
1003,465066,165,265
1004,682619,165,265
1005,682619,165,265
1006,682619,165,265
1007,682619,165,265
1008,682619,165,265
1009,682619,165,265
1010,160192,168,230
1011,160112,53,86
1012,160237,142,241
1013,160276,37,63
1014,160275,37,63
1015,160308,53,86
1016,161874,2,7
1017,161877,168,230
1018,162112,40,68
1019,162184,172,278
1020,162755,37,63
1021,162807,37,63
1022,163075,69,8
1023,163237,40,68
1024,163319,37,63
1025,163464,37,63
1026,163619,37,63
1027,163759,168,230
1028,163758,168,230
1029,149152,168,230
1030,164069,37,63
1031,164354,37,63
1032,164365,37,63
1033,164405,168,230
1034,155768,158,190
1035,164532,84,115
1036,164491,53,86
1037,164730,1,7
1038,163461,179,293
1039,165663,37,63
1040,165665,37,63
1041,166195,37,63
1042,166198,37,63
1043,150771,188,295
1044,150771,188,295
1045,150771,188,295
1046,166283,2,7
1047,752825,16,19
1048,166365,53,86
1049,166759,37,63
1050,150771,188,295
1051,150771,188,295
1052,166718,53,86
1053,166912,161,267
1054,752825,16,19
1055,577899,16,19
1056,577899,16,19
1057,577899,16,19
1058,577899,16,19
1059,60190,16,19
1060,167025,40,68
1061,167121,165,265
1062,167121,165,265
1063,167121,165,265
1065,167121,165,265
1066,167121,165,265
1067,2892901,165,265
1068,167121,165,265
1069,673881,165,265
1070,673881,165,265
1071,673881,165,265
1072,673881,165,265
1073,673881,165,265
1074,673881,165,265
1075,167183,37,63
1076,167189,37,63
1077,167297,37,63
1078,752825,16,19
1079,752825,16,19
1080,752825,16,19
1081,577899,16,19
1082,577899,16,19
1083,577899,16,19
1084,752825,16,19
1085,752825,16,19
1086,577899,16,19
1087,150771,192,295
1088,169146,37,63
1089,169112,53,86
1090,169649,37,63
1091,169575,53,86
1092,170318,2,7
1093,170703,198,311
1094,170737,168,230
1095,170739,37,63
1096,170768,37,63
1097,158370,199,50
1098,169677,199,50
1099,157345,199,50
1100,167023,199,50
1101,170804,199,50
1102,170803,199,50
1103,170813,37,63
1104,51554,37,63
1105,170989,123,207
1106,170997,1,7
1107,166110,177,39
1108,84569,127,138
1109,150313,127,138
1110,171283,37,63
1111,1024832,90,138
1112,171479,204,269
1113,171490,37,63
1114,171489,37,63
1115,171485,53,86
1116,171784,37,63
1117,144403,205,134
1118,171800,204,269
1119,172134,37,63
1120,172350,204,269
1121,172393,37,63
1122,172375,37,63
1123,172397,37,63
1124,172771,2,7
1125,172832,37,63
1126,171214,209,295
1127,173288,37,63
1128,173621,37,63
1129,173682,13,7
1130,173705,53,86
1131,173963,204,269
1132,173999,37,63
1133,1087633,163,182
1134,174095,161,267
1135,174168,53,86
1137,174212,53,86
1138,174203,163,182
1139,25388,222,19
1140,689272,222,19
1141,1501475,216,269
1142,174808,37,63
1143,174809,37,63
1144,174824,53,86
1145,174893,201,214
1146,175017,1,7
1147,29477,222,19
1148,25388,222,19
1149,25388,222,19
1151,25388,222,19
1152,25616,222,19
1153,25616,222,19
1154,29314,222,19
1155,689272,222,19
1156,689272,222,19
1157,175018,69,8
1158,175282,175,206
1159,175288,53,86
1160,175440,37,63
1161,175441,37,63
1162,129109,187,134
1163,129109,187,134
1164,178004,37,63
1165,178227,168,230
1166,178500,168,230
1167,1607339,159,265
1168,178621,69,8
1169,178793,69,8
1170,178861,204,269
1171,178827,53,86
1172,178966,168,230
1173,179004,37,63
1174,158484,166,150
1175,179262,40,68
1176,179124,53,86
1177,179301,158,190
1178,723652,158,190
1179,50914,37,63
1180,179544,168,230
1181,1038111,231,265
1182,156932,165,265
1183,156932,165,265
1184,156932,165,265
1185,156932,165,265
1186,156932,165,265
1187,156932,165,265
1188,156932,165,265
1189,466839,165,265
1190,466839,165,265
1191,1084089,165,265
1192,1084089,165,265
1193,1084089,165,265
1194,1084089,165,265
1195,1299328,165,265
1196,1299328,165,265
1197,1299328,165,265
1198,1043596,165,265
1199,1043596,165,265
1200,183033,37,63
1201,183188,53,86
1202,184051,37,63
1203,25616,222,19
1204,689272,222,19
1205,184234,241,362
1206,184413,37,63
1207,184675,53,86
1208,184741,244,219
1209,184742,244,219
1210,184916,244,219
1211,184897,244,219
1212,185071,1,7
1213,184906,244,219
1214,185260,244,219
1215,184901,244,219
1216,184901,244,219
1217,185297,241,362
1218,185472,168,230
1219,185516,37,63
1220,456594,217,229
1221,185589,53,86
1222,688852,90,138
1223,185626,216,269
1224,1434690,216,269
1225,185628,216,269
1226,185548,244,219
1227,184431,244,219
1228,185319,244,219
1229,184908,244,219
1230,185638,250,369
1231,185636,250,369
1232,185597,53,86
1233,185768,37,63
1234,185776,37,63
1235,184904,244,219
1236,184945,244,219
1237,185734,244,219
1238,185913,114,67
1239,185978,37,63
1240,184624,244,219
1241,184540,244,219
1242,186575,168,230
1243,186577,40,68
1244,186589,250,369
1245,186687,37,63
1246,277843,115,53
1247,186868,1,7
1248,187032,37,63
1249,159912,174,150
1250,187206,69,8
1251,456599,217,229
1252,192835,69,8
1253,184890,244,219
1254,184890,244,219
1255,193125,53,86
1256,186766,244,219
1257,186766,244,219
1258,186766,244,219
1259,186766,244,219
1260,186766,244,219
1261,193138,53,86
1262,184624,244,219
1263,184624,244,219
1264,193640,168,230
1265,193534,53,86
1266,130352,219,134
1267,193966,37,63
1268,194046,53,86
1269,194202,251,369
1270,194241,251,369
1271,144397,248,134
1272,194427,37,63
1273,194401,53,86
1274,194601,279,395
1275,194629,89,129
1276,194412,53,86
1277,194781,168,230
1278,194808,37,63
1279,194983,161,267
1280,195053,40,68
1281,195052,37,63
1282,195102,53,86
1283,195198,37,63
1284,184623,268,219
1285,195409,37,63
1286,195407,53,86
1287,195561,53,86
1288,195720,37,63
1289,195812,53,86
1290,195816,53,86
1291,195817,53,86
1292,195885,37,63
1293,41384,291,39
1294,41384,291,39
1295,41384,291,39
1296,41384,291,39
1297,196068,37,63
1298,196078,228,219
1299,196078,228,219
1300,196078,228,219
1301,132740,293,39
1302,132740,293,39
1303,132969,293,39
1304,132969,293,39
1305,132969,293,39
1306,132771,293,39
1307,133101,293,39
1308,132775,293,39
1309,132939,293,39
1310,133101,293,39
1311,132939,293,39
1312,132939,293,39
1313,132927,293,39
1314,132772,293,39
1315,132772,293,39
1316,132971,293,39
1317,132928,293,39
1318,132919,293,39
1319,132919,293,39
1320,195909,288,190
1322,193562,264,219
1323,193562,264,219
1324,193562,264,219
1325,193562,264,219
1326,196170,53,86
1327,196326,37,63
1328,196356,251,369
1329,29833,292,39
1330,29841,292,39
1331,29853,292,39
1332,29862,292,39
1333,29866,292,39
1334,29873,292,39
1335,29890,292,39
1336,30010,295,39
1337,30011,295,39
1338,30012,295,39
1339,30013,295,39
1340,30014,295,39
1344,30015,295,39
1345,30016,295,39
1346,30017,295,39
1348,30018,295,39
1350,30019,295,39
1351,30020,295,39
1352,30021,295,39
1353,30022,295,39
1354,30023,295,39
1355,30024,295,39
1356,30025,295,39
1357,30027,295,39
1358,184900,265,219
1359,41817,296,39
1360,196460,37,63
1361,196542,37,63
1362,172444,232,322
1363,29998,294,39
1364,30008,294,39
1365,30000,294,39
1366,30006,294,39
1367,30003,294,39
1368,30005,294,39
1369,29899,297,39
1370,29901,297,39
1371,29903,297,39
1372,29895,297,39
1373,29902,297,39
1374,29900,297,39
1375,29897,297,39
1376,29905,297,39
1377,29907,297,39
1378,29908,297,39
1379,29904,297,39
1380,29909,297,39
1381,29910,297,39
1382,29912,297,39
1383,29914,297,39
1384,29906,297,39
1385,29913,297,39
1386,29911,297,39
1387,29915,297,39
1388,29916,297,39
1389,29923,297,39
1390,29920,297,39
1391,29919,297,39
1392,29922,297,39
1393,29931,297,39
1394,29918,297,39
1395,29921,297,39
1396,29917,297,39
1397,29924,297,39
1398,29932,297,39
1399,29933,297,39
1400,29930,297,39
1401,29934,297,39
1402,29929,297,39
1403,29925,297,39
1404,29926,297,39
1405,29928,297,39
1406,29927,297,39
1407,29936,297,39
1408,29935,297,39
1409,29938,297,39
1410,29940,297,39
1411,29944,297,39
1412,29941,297,39
1413,29945,297,39
1414,29947,297,39
1415,29939,297,39
1416,29948,297,39
1417,29949,297,39
1418,29951,297,39
1419,29942,297,39
1420,29950,297,39
1421,29943,297,39
1422,29956,297,39
1423,29954,297,39
1424,29957,297,39
1425,29959,297,39
1426,29962,297,39
1427,29964,297,39
1428,29961,297,39
1429,29960,297,39
1430,29963,297,39
1431,29958,297,39
1432,29946,297,39
1433,29955,297,39
1434,29969,297,39
1435,29968,297,39
1436,29970,297,39
1437,29953,297,39
1438,29972,297,39
1439,29975,297,39
1440,29952,297,39
1441,29976,297,39
1442,29979,297,39
1443,29977,297,39
1444,29981,297,39
1445,29967,297,39
1446,29966,297,39
1447,29965,297,39
1448,29984,297,39
1449,29985,297,39
1450,29987,297,39
1451,29988,297,39
1452,29990,297,39
1453,29974,297,39
1454,29986,297,39
1455,29989,297,39
1456,29992,297,39
1457,29980,297,39
1458,29978,297,39
1459,29993,297,39
1460,29896,297,39
1461,29982,297,39
1462,29983,297,39
1463,29939,297,39
1464,29939,297,39
1465,29896,297,39
1466,29519,297,39
1467,29518,297,39
1468,29944,297,39
1469,29937,297,39
1470,29937,297,39
1471,29519,297,39
1472,29973,297,39
1473,29991,297,39
1474,29939,297,39
1475,29939,297,39
1476,29994,297,39
1477,29898,297,39
1478,29980,297,39
1479,29898,297,39
1480,166774,297,39
1481,29971,297,39
1482,166774,297,39
1483,166774,297,39
1484,166774,297,39
1485,166774,297,39
1486,166774,297,39
1487,132740,293,39
1488,132740,293,39
1489,170801,293,39
1490,170801,293,39
1491,170801,293,39
1492,170801,293,39
1493,170801,293,39
1494,271581,291,39
1495,271581,291,39
1496,41384,291,39
1497,41384,291,39
1498,271581,291,39
1499,271581,291,39
1500,271581,291,39
1501,41384,291,39
1502,29857,292,39
